#Description:	Naive, three-loop dgemm.

Size: 31	Mflop/s:   6857.4	Percentage:  9.27
Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Size: 32	Mflop/s:  6428.86	Percentage:  8.69
Size: 96	Mflop/s:  4132.47	Percentage:  5.58
Size: 97	Mflop/s:   4168.5	Percentage:  5.63
Size: 127	Mflop/s:  3911.46	Percentage:  5.29
Size: 128	Mflop/s:  2446.75	Percentage:  3.31
Size: 129	Mflop/s:  3913.49	Percentage:  5.29
Size: 191	Mflop/s:  3739.63	Percentage:  5.05
Size: 192	Mflop/s:  3583.26	Percentage:  4.84
Size: 229	Mflop/s:  3428.66	Percentage:  4.63
Size: 255	Mflop/s:  3387.71	Percentage:  4.58
Size: 256	Mflop/s:  2604.73	Percentage:  3.52
Size: 257	Mflop/s:  3374.63	Percentage:  4.56
Size: 319	Mflop/s:  3109.29	Percentage:  4.20
Size: 320	Mflop/s:  2670.97	Percentage:  3.61
Size: 321	Mflop/s:  3092.66	Percentage:  4.18
Size: 417	Mflop/s:  2861.27	Percentage:  3.87
Size: 479	Mflop/s:   2747.2	Percentage:  3.71
Size: 480	Mflop/s:  2554.62	Percentage:  3.45
Size: 511	Mflop/s:   2688.9	Percentage:  3.63
Size: 512	Mflop/s:   880.16	Percentage:  1.19
Size: 639	Mflop/s:  2617.86	Percentage:  3.54
Size: 640	Mflop/s:  2540.49	Percentage:  3.43
Size: 767	Mflop/s:  2562.06	Percentage:  3.46
Size: 768	Mflop/s:   2483.5	Percentage:  3.36
Size: 769	Mflop/s:  2563.18	Percentage:  3.46
#Average percentage of Peak = 4.43606
