#Description:	Reference dgemm.

Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Size: 31	Mflop/s:  19239.1	Percentage:  0.29
Size: 32	Mflop/s:  21350.4	Percentage:  0.32
Size: 96	Mflop/s:  24207.8	Percentage:  0.36
Size: 97	Mflop/s:  22645.7	Percentage:  0.34
Size: 127	Mflop/s:  23485.1	Percentage:  0.35
Size: 128	Mflop/s:  24577.8	Percentage:  0.36
Size: 129	Mflop/s:  23455.9	Percentage:  0.35
Size: 191	Mflop/s:  24471.8	Percentage:  0.36
Size: 192	Mflop/s:  25196.3	Percentage:  0.37
Size: 229	Mflop/s:  24340.7	Percentage:  0.36
Size: 255	Mflop/s:    24675	Percentage:  0.37
Size: 256	Mflop/s:  25325.3	Percentage:  0.38
Size: 257	Mflop/s:  24230.2	Percentage:  0.36
Size: 319	Mflop/s:  24961.6	Percentage:  0.37
Size: 320	Mflop/s:  24614.5	Percentage:  0.36
Size: 321	Mflop/s:  23796.1	Percentage:  0.35
Size: 417	Mflop/s:  24064.8	Percentage:  0.36
Size: 479	Mflop/s:  24329.6	Percentage:  0.36
Size: 480	Mflop/s:  25550.3	Percentage:  0.38
Size: 511	Mflop/s:  25090.1	Percentage:  0.37
Size: 512	Mflop/s:  25609.2	Percentage:  0.38
Size: 639	Mflop/s:  24822.9	Percentage:  0.37
Size: 640	Mflop/s:  25582.5	Percentage:  0.38
Size: 767	Mflop/s:  25392.6	Percentage:  0.38
Size: 768	Mflop/s:  25635.1	Percentage:  0.38
Size: 769	Mflop/s:  25233.1	Percentage:  0.37
#Average percentage of Peak = 0.360314
