threads,ranks,grid,time
1,1,128,0.637446
1,1,256,4.30638
1,1,512,31.643
1,1,1024,264.376
1,2,128,0.318218
1,2,256,2.19919
1,2,512,15.9039
1,2,1024,127.091
1,4,128,0.191735
1,4,256,1.2117
1,4,512,9.49185
1,4,1024,84.0282
2,1,128,1.25095
2,1,256,3.71295
2,1,512,20.0111
2,1,1024,163.406
2,2,128,1.18285
2,2,256,3.74849
2,2,512,20.2826
2,2,1024,127.87
2,4,128,3.05971
2,4,256,5.81818
2,4,512,22.9593
2,4,1024,91.4836
3,1,128,1.31004
3,1,256,3.76365
3,1,512,17.756
3,1,1024,151.004
3,2,128,1.5762
3,2,256,4.3378
3,2,512,20.1011
3,2,1024,93.7427
3,4,128,3.9266
3,4,256,7.56797
3,4,512,24.8978
3,4,1024,106.55
4,1,128,1.51359
4,1,256,4.20048
4,1,512,25.6244
4,1,1024,142.935
4,2,128,2.05001
4,2,256,4.90842
4,2,512,21.1993
4,2,1024,93.1022
4,4,128,5.05699
4,4,256,10.7169
4,4,512,24.9461
4,4,1024,111.013
5,1,128,1.72315
5,1,256,4.42869
5,1,512,23.498
5,1,1024,113.638
5,2,128,2.49873
5,2,256,5.83549
5,2,512,22.0974
5,2,1024,95.4143
