cluster_id,method_name
0,checkQName
1,isNormalizeDocRequired
1,getImplementation
1,removedNode
1,getElementsByTagNameNS
1,abort
1,createComment
1,isXMLVersionChanged
1,loadXML
1,setAttrNode
1,getTextContent
1,getNodeName
1,getOwnerDocument
1,replacedNode
1,insertedText
1,createDocumentFragment
1,modifyingCharacterData
1,setMutationEvents
1,replacingData
1,renamedElement
1,createCDATASection
1,modifiedAttrValue
1,setTextContent
1,removingNode
1,modifiedCharacterData
1,createElementNS
1,getMutationEvents
1,createAttributeNS
1,copyEventListeners
1,createTextNode
1,removedAttrNode
1,createDocumentType
1,getElementsByTagName
1,renamedAttrNode
1,deletedText
1,setAsync
1,canRenameElements
1,removeEventListener
1,replacingNode
1,getNodeType
1,insertedNode
1,dispatchEvent
1,load
1,insertingNode
1,addEventListener
1,replacedText
1,replacedCharacterData
1,getAsync
1,clone
2,adoptNode
3,importNode
4,insertBefore
4,replaceChild
5,renameNode
6,isValidQName
6,isXMLName
6,isXML11Version
7,cloneNode
8,getUserData
9,setStrictErrorChecking
9,setErrorChecking
9,getStrictErrorChecking
9,getErrorChecking
9,checkDOMNSErr
9,checkNamespaceWF
9,saveXML
10,createProcessingInstruction
10,createElementDefinition
10,createEntity
10,createEntityReference
10,createAttribute
10,createNotation
10,createElement
11,getUserDataRecord
11,removeUserDataTable
11,callUserDataHandlers
11,setUserDataTable
12,removeIdentifier
12,getIdentifier
12,clearIdentifiers
12,getIdentifiers
12,putIdentifier
13,getNodeNumber
14,replaceRenameElement
15,getDocumentURI
15,getBaseURI
15,setDocumentURI
16,setXmlVersion
17,normalizeDocument
18,removeChild
19,getFeature
20,isKidOK
21,changed
21,changes
22,getXmlEncoding
22,setXmlEncoding
23,getNodeListCache
23,freeNodeListCache
24,getVersion
25,getDomConfig
26,undeferChildren
27,setXmlStandalone
27,getXmlStandalone
28,writeObject
28,readObject
29,setVersion
30,getDocumentElement
31,getDoctype
32,setInputEncoding
32,getInputEncoding
33,getElementById
34,setUserData
35,getXmlVersion
36,setStandalone
37,getStandalone
38,setEncoding
39,getEncoding
