cluster_id,method_name
0,endExternalSubset
0,startExternalSubset
0,isEntityDeclared
0,getSymbolTable
1,appendContentSpec
1,contentSpecTree
2,getNextElementDeclIndex
2,setDTDContentModelSource
2,getDTDContentModelSource
2,getFirstElementDeclIndex
3,getNotationDecl
3,setNotationDecl
4,endGroup
4,separator
5,setContentSpecIndex
5,getContentSpecIndex
5,getContentSpecAsString
6,setEntityDecl
6,getEntityDecl
7,pcdata
7,startGroup
8,getContentSpec
8,setContentSpec
9,getFirstAttributeDeclIndex
9,setFirstAttributeDeclIndex
10,getAttributeDeclIsExternal
10,getElementDeclIsExternal
10,getNextAttributeDeclIndex
11,buildSyntaxTree
11,createChildModel
12,unparsedEntityDecl
12,externalEntityDecl
12,internalEntityDecl
13,addContentSpecNode
13,addUniqueLeafNode
14,setElementDecl
15,createAttributeDecl
16,initializeContentModelStack
16,startDTD
17,endDTD
17,getElementDeclName
18,elementDecl
19,attributeDecl
20,startContentModel
21,element
22,empty
22,endConditional
22,getNotationDeclIndex
22,processingInstruction
22,endAttlist
22,ignoredCharacters
22,endContentModel
22,textDecl
22,getElementDeclIndex
22,isNamespaceAware
22,resize
22,putElementNameMapping
22,any
22,startAttlist
22,startConditional
22,comment
22,getEntityDeclIndex
23,setDTDSource
23,getDTDSource
24,getGrammarDescription
25,getElementContentModelValidator
26,ensureEntityDeclCapacity
27,ensureAttributeDeclCapacity
28,createNotationDecl
29,occurrence
30,ensureNotationDeclCapacity
31,addContentSpecToElement
32,getAttributeDecl
33,createElementDecl
34,startParameterEntity
34,endParameterEntity
35,notationDecl
36,getAttributeDeclIndex
37,getContentSpecType
38,printAttributes
39,ensureElementDeclCapacity
40,printElements
41,getElementDecl
42,isCDATAAttribute
43,createEntityDecl
44,createContentSpec
45,isEntityUnparsed
46,isImmutable
47,setAttributeDecl
48,printAttribute
49,ensureContentSpecCapacity
