cluster_id,method_name
0,startExternalSubset
0,startParameterEntity
0,startAttlist
0,endExternalSubset
0,endConditional
0,ignoredCharacters
1,reportResourceError
1,reportError
2,scopeOfLanguage
2,isEqual
2,getRecognizedFeatures
2,getBaseURI
2,isValidInHTTPHeader
2,scopeOfBaseURI
2,sameBaseURIAsIncludeParent
2,setDTDSource
2,addUnparsedEntity
2,processXMLBaseAttributes
2,addNotation
2,restoreBaseURI
2,getDocumentSource
2,copyFeatures1
2,getLanguage
2,setDocumentSource
2,getRelativeURI
2,getSawInclude
2,getDocumentHandler
2,setSawInclude
2,restoreLanguage
2,checkNotation
2,hasXIncludeNamespace
2,copyFeatures
2,createInputSource
2,setXIncludeLocator
2,setSawFallback
2,getResultDepth
2,getRecognizedProperties
2,getDTDSource
2,getSawFallback
3,isFallbackElement
3,isIncludeElement
4,getIncludeParentDepth
4,isTopLevelIncludedItemViaFallback
5,endParameterEntity
5,setDTDHandler
5,getDTDHandler
6,getState
6,setState
7,getRootElementProcessed
7,setRootElementProcessed
8,isRootDocument
8,setParent
8,searchForRecursiveIncludes
9,xmlDecl
10,setupCurrentBaseURI
10,setHref
11,endGeneralEntity
12,attributeDecl
13,startGeneralEntity
14,processingInstruction
15,endDTD
16,checkWhitespace
16,reportFatalError
17,unparsedEntityDecl
18,sameLanguageAsIncludeParent
19,getRelativeBaseURI
20,doctypeDecl
21,textDecl
22,isTopLevelIncludedItem
23,ignorableWhitespace
24,startDTD
25,startCDATA
26,externalEntityDecl
27,elementDecl
28,endAttlist
29,startConditional
30,checkAndSendUnparsedEntity
31,reset
32,modifyAugmentations
33,setDocumentHandler
34,saveLanguage
34,saveBaseURI
34,isTopLevelIncludedItemViaInclude
35,escapeHref
36,getFeatureDefault
37,characters
38,getPropertyDefault
39,endDocument
40,startDocument
41,getIncludeParentLanguage
42,notationDecl
43,handleFallbackElement
44,emptyElement
45,checkUnparsedEntity
46,comment
47,checkMultipleRootElements
48,handleIncludeElement
49,startElement
50,endCDATA
51,endElement
52,setProperty
53,setErrorReporter
54,internalEntityDecl
55,setFeature
56,checkAndSendNotation
57,getIncludeParentBaseURI
58,processXMLLangAttributes
59,processAttributes
