cluster_id,method_name
0,startDocument
0,endElement
1,handleFallbackElement
1,emptyElement
1,startElement
2,handleIncludeElement
2,reset
3,restoreLanguage
3,setupCurrentBaseURI
3,getRelativeBaseURI
3,getIncludeParentLanguage
3,unparsedEntityDecl
3,processXMLBaseAttributes
3,setDTDSource
3,addUnparsedEntity
3,getDocumentHandler
3,getState
3,sameBaseURIAsIncludeParent
3,startDTD
3,getFeatureDefault
3,scopeOfBaseURI
3,setProperty
3,searchForRecursiveIncludes
3,checkWhitespace
3,startConditional
3,ignorableWhitespace
3,processXMLLangAttributes
3,endAttlist
3,addNotation
3,restoreBaseURI
3,setParent
3,getSawInclude
3,attributeDecl
3,externalEntityDecl
3,getRelativeURI
3,setDocumentSource
3,reportResourceError
3,xmlDecl
3,reportFatalError
3,doctypeDecl
3,sameLanguageAsIncludeParent
3,saveLanguage
3,startCDATA
3,isRootDocument
3,startGeneralEntity
3,getLanguage
3,endGeneralEntity
3,getDTDHandler
3,internalEntityDecl
3,copyFeatures1
3,elementDecl
3,endDTD
3,getDocumentSource
3,isValidInHTTPHeader
3,processingInstruction
3,getBaseURI
3,startExternalSubset
3,isIncludeElement
3,checkNotation
3,getDTDSource
3,isFallbackElement
3,setRootElementProcessed
3,endExternalSubset
3,getRecognizedProperties
3,setState
3,checkMultipleRootElements
3,setHref
3,setSawFallback
3,getResultDepth
3,characters
3,ignoredCharacters
3,setErrorReporter
3,endConditional
3,createInputSource
3,setFeature
3,endDocument
3,copyFeatures
3,hasXIncludeNamespace
3,setDTDHandler
3,endParameterEntity
3,setXIncludeLocator
3,saveBaseURI
3,setSawInclude
3,checkUnparsedEntity
3,startAttlist
3,textDecl
3,notationDecl
3,isTopLevelIncludedItemViaInclude
3,checkAndSendNotation
3,processAttributes
3,endCDATA
3,getRecognizedFeatures
3,checkAndSendUnparsedEntity
3,modifyAugmentations
3,reportError
3,isTopLevelIncludedItemViaFallback
3,isEqual
3,setDocumentHandler
3,getRootElementProcessed
3,escapeHref
3,getIncludeParentDepth
3,isTopLevelIncludedItem
3,comment
3,scopeOfLanguage
3,getPropertyDefault
3,getIncludeParentBaseURI
3,startParameterEntity
3,getSawFallback
