cluster_id,method_name
0,addRelatedAttribute
0,addRelatedType
1,addGlobalGroupDecls
2,removeParticle
2,expandRelatedParticleComponents
2,containedImportedGrammar
2,setDVFactory
2,expandRelatedModelGroupComponents
2,getGlobalAttributeGroupDecl
2,expandRelatedAttributeUseComponents
2,expandRelatedComplexTypeComponents
2,addNamespaceDependency
2,getIDRegistry
2,getSchemaDocument0
2,getIDConstraintDecl
2,expandGrammars
2,expandRelatedElementComponents
2,updateImportListWith
2,getIDRegistry_sub
2,updateImportList
2,getGlobalElementDecl
2,null2EmptyString
2,findQName
2,addGlobalAttributeGroupDecl
2,isExistingGrammar
2,expandRelatedModelGroupDefinitionComponents
2,doc2SystemId
2,setGenerateSyntheticAnnotations
2,updateImportListFor
2,reportSchemaError
2,addGrammars
2,expandImportList
2,findDependentNamespaces
2,getGrammar
2,schemaDocument2SystemId
2,getGlobalTypeDecl
2,addGlobalElementDecls
2,findGrammar
2,expandRelatedAttributeUsesComponents
2,setDeclPool
2,emptyString2Null
2,traverseGlobalDecl
2,prepareForParse
2,addNewImportedGrammars
2,expandRelatedAttributeComponents
2,getGrpOrAttrGrpRedefinedByRestriction
2,addGlobalNotationDecl
2,canAddComponents
2,createGrammarFrom
2,addGlobalGroupDecl
2,reportSchemaWarning
2,addIDConstraintDecl
2,addGlobalTypeDecl
2,expandRelatedTypeComponents
2,expandRelatedAttributeGroupComponents
2,addImportList
2,getGlobalGroupDecl
2,updateImportDependencies
2,setSchemasVisible
2,needReportTNSError
2,addGlobalElementDecl
2,nonAnnotationContent
2,addNewGrammarLocations
2,expandComponents
2,getGlobalNotationDecl
2,reportSharingError
2,findXSDocumentForDecl
2,element2Locator
2,getSchemaDocument1
2,existingGrammars
2,expandRelatedSimpleTypeComponents
2,getGlobalAttributeDecl
2,changeRedefineGroup
2,addGlobalComponents
2,addGlobalAttributeDecl
2,renameRedefiningComponents
3,addRelatedElement
4,addGlobalTypeDecls
5,storeKeyRef
6,resolveSchema
6,resolveSchemaSource
7,checkForDuplicateNames
8,reset
9,getSchemaDocument
10,addGlobalAttributeGroupDecls
11,prepareForTraverse
12,traverseLocalElements
13,createAnnotationValidator
14,addNewGrammarComponents
15,resolveKeyRefs
16,expandRelatedComponents
17,createTraversers
18,fillInLocalElemInfo
19,constructTrees
20,validateAnnotations
21,addGlobalComponent
22,addGlobalNotationDecls
23,addGlobalAttributeDecls
24,buildGlobalNameRegistries
25,traverseSchemas
26,addGrammarComponents
27,getSchemaGrammar
28,parseSchema
29,getGlobalDeclFromGrammar
30,canAddComponent
31,getGlobalDecl
