method_name,fAttributeDeclDefaultType,isCDATAAttribute,startGroup,fAttributeDecl,fLeafCount,endParameterEntity,initializeContentModelStack,fContentSpecValue,empty,endConditional,fDepth,addUniqueLeafNode,getContentSpecType,INITIAL_CHUNK_COUNT,fEntitySystemId,fSymbolTable,ensureNotationDeclCapacity,fEntityBaseSystemId,ignoredCharacters,ensureElementDeclCapacity,fContentSpecOtherValue,fAttributeDeclName,fNotationIndexMap,separator,setDTDContentModelSource,getElementContentModelValidator,createNotationDecl,fAttributeDeclIsExternal,createChildModel,fNotationSystemId,nodeIndex,endExternalSubset,ensureEntityDeclCapacity,createContentSpec,getDTDContentModelSource,fEntityNotation,getElementDecl,getDTDSource,fQName,fNotationBaseSystemId,fContentSpecType,ensureContentSpecCapacity,isEntityDeclared,contentSpecTree,fEntityIsPE,CHUNK_MASK,TOP_LEVEL_SCOPE,putElementNameMapping,resize,fDTDSource,fPrevNodeIndexStack,setFirstAttributeDeclIndex,fElementDeclName,fElementDeclLastAttributeDeclIndex,fOpStack,comment,isNamespaceAware,getElementDeclName,fContentSpec,getElementDeclIndex,fNotationPublicId,fNotationName,startParameterEntity,CHUNK_SHIFT,getSymbolTable,fCurrentAttributeIndex,setAttributeDecl,fElementDeclContentModelValidator,getEntityDeclIndex,getAttributeDeclIsExternal,fElementDeclIsExternal,fAttributeDeclEnumeration,fEntityName,fCurrentElementIndex,fAttributeDeclDatatypeValidator,fAttributeDeclNextAttributeDeclIndex,fEntityInExternal,fElementDeclFirstAttributeDeclIndex,fAttributeDeclNonNormalizedDefaultValue,startContentModel,addContentSpecToElement,fEpsilonIndex,notationDecl,addContentSpecNode,startExternalSubset,fEntityValue,startAttlist,fPEntityStack,fEntityIndexMap,getContentSpecIndex,getNextAttributeDeclIndex,printElements,getAttributeDecl,fDTDContentModelSource,DEBUG,setEntityDecl,createEntityDecl,startConditional,prevNodeIndex,any,isEntityUnparsed,fGrammarDescription,fAttributeDeclCount,fAttributeDeclType,fElementDeclType,startDTD,appendContentSpec,printAttributes,getContentSpecAsString,getGrammarDescription,getFirstAttributeDeclIndex,setContentSpecIndex,fElementIndexMap,fElementDeclContentSpecIndex,printAttribute,endContentModel,element,fAttributeDeclDefaultValue,fElementDeclTab,fEntityCount,createElementDecl,fMixed,fReadingExternalDTD,fElementDecl,setDTDSource,fNodeIndexStack,getNotationDecl,fPEDepth,fEntityPublicId,LIST_FLAG,unparsedEntityDecl,fEntityDecl,getElementDeclIsExternal,endAttlist,processingInstruction,pcdata,fQName2,fSimpleType,getNotationDeclIndex,getNextElementDeclIndex,occurrence,getAttributeDeclIndex,elementDecl,endDTD,internalEntityDecl,valueIndex,getFirstElementDeclIndex,isImmutable,getEntityDecl,createAttributeDecl,endGroup,setNotationDecl,getContentSpec,ensureAttributeDeclCapacity,externalEntityDecl,setElementDecl,attributeDecl,fNotationCount,fElementDeclCount,fContentSpecCount,CHUNK_SIZE,textDecl,LIST_MASK,setContentSpec,fIsImmutable,buildSyntaxTree
isCDATAAttribute,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
startGroup,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endParameterEntity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
initializeContentModelStack,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endConditional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addUniqueLeafNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
getContentSpecType,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ensureNotationDeclCapacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ignoredCharacters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
