method_name,restoreLanguage,endParameterEntity,setDTDHandler,hasXIncludeNamespace,copyFeatures,endDocument,JAXP_SCHEMA_LANGUAGE,setFeature,createInputSource,fNotations,SECURITY_MANAGER,ALLOW_UE_AND_NOTATION_EVENTS,STATE_EXPECT_FALLBACK,fDepth,fSeenRootElement,endConditional,fSendUEAndNotationEvents,setErrorReporter,fSymbolTable,RECOGNIZED_FEATURES,fSecurityManager,ignoredCharacters,XINCLUDE_ATTR_HREF,XINCLUDE_FIXUP_LANGUAGE,CURRENT_BASE_URI,fXPtrProcessor,fNeedCopyFeatures,endElement,setXIncludeLocator,fEntityResolver,PARSER_SETTINGS,XINCLUDE_LANG,VALIDATION,fBufferSize,characters,HTTP_ACCEPT_LANGUAGE,setSawFallback,startElement,setHref,XML_BASE_QNAME,XINCLUDE_NS_URI,checkMultipleRootElements,setState,getRecognizedProperties,endExternalSubset,setRootElementProcessed,fDocumentHandler,XINCLUDE_PARSE_XML,isFallbackElement,getDTDSource,startDocument,NEW_NS_ATTR_QNAME,fChildConfig,handleIncludeElement,checkNotation,getResultDepth,fCurrentLanguage,fBaseURI,setSawInclude,fErrorReporter,FEATURE_DEFAULTS,fFixupBaseURIs,reportError,checkUnparsedEntity,XINCLUDE_PARSE_TEXT,getIncludeParentBaseURI,fDTDSource,gAfterEscaping1,fXInclude10TextReader,getPropertyDefault,scopeOfLanguage,fResultDepth,reset,XINCLUDE_ATTR_ACCEPT,BUFFER_SIZE,fHrefFromParent,comment,fXIncludeMessageFormatter,isTopLevelIncludedItem,getIncludeParentDepth,escapeHref,gNeedEscaping,getRootElementProcessed,setDocumentHandler,isEqual,ERROR_REPORTER,startParameterEntity,fDocLocation,STATE_IGNORE,isTopLevelIncludedItemViaFallback,modifyAugmentations,fExpandedSystemID,checkAndSendUnparsedEntity,getRecognizedFeatures,endCDATA,processAttributes,handleFallbackElement,checkAndSendNotation,fBaseURIScope,isTopLevelIncludedItemViaInclude,gHexChs,fCurrentBaseURI,notationDecl,startExternalSubset,HTTP_ACCEPT,startAttlist,isIncludeElement,saveBaseURI,getBaseURI,isValidInHTTPHeader,fXInclude11TextReader,processXMLLangAttributes,RECOGNIZED_PROPERTIES,fFixupLanguage,ignorableWhitespace,STATE_NORMAL_PROCESSING,fUnparsedEntities,startConditional,checkWhitespace,searchForRecursiveIncludes,XPOINTER,fHasIncludeReportedContent,setProperty,scopeOfBaseURI,fDTDHandler,getFeatureDefault,INITIAL_SIZE,fLiteralSystemID,XINCLUDE_INCLUDED,startDTD,fXPointerChildConfig,fXIncludeLocator,fLanguageScope,sameBaseURIAsIncludeParent,fParentXIncludeHandler,getState,fNamespaceContext,SYMBOL_TABLE,getDocumentHandler,addUnparsedEntity,setDTDSource,XINCLUDE_ATTR_PARSE,XINCLUDE_ATTR_ACCEPT_LANGUAGE,processXMLBaseAttributes,gAfterEscaping2,emptyElement,XINCLUDE_ATTR_ENCODING,unparsedEntityDecl,getIncludeParentLanguage,getRelativeBaseURI,XINCLUDE_BASE,XML_LANG_QNAME,PROPERTY_DEFAULTS,ENTITY_RESOLVER,setupCurrentBaseURI,endAttlist,XINCLUDE_DEFAULT_CONFIGURATION,addNotation,processingInstruction,XINCLUDE_FIXUP_BASE_URIS,SCHEMA_VALIDATION,fParentRelativeURI,setParent,XINCLUDE_FALLBACK,restoreBaseURI,getDocumentSource,endDTD,elementDecl,copyFeatures1,internalEntityDecl,fLanguageStack,getDTDHandler,endGeneralEntity,getLanguage,startGeneralEntity,isRootDocument,startCDATA,saveLanguage,sameLanguageAsIncludeParent,fDocumentSource,XINCLUDE_INCLUDE,fSawInclude,fXIncludeChildConfig,doctypeDecl,reportFatalError,DYNAMIC_VALIDATION,fSettings,xmlDecl,reportResourceError,setDocumentSource,getRelativeURI,fState,externalEntityDecl,attributeDecl,getSawInclude,textDecl,fSawFallback,fIsXML11,getSawFallback,fInDTD
restoreLanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endParameterEntity,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setDTDHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hasXIncludeNamespace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copyFeatures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endDocument,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setFeature,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
createInputSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endConditional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setErrorReporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
