cluster_id,method_name
0,isKidOK
0,insertedText
0,getOwnerDocument
0,checkQName
0,modifiedAttrValue
0,removingNode
0,getVersion
0,removeChild
0,dispatchEvent
0,getDoctype
0,modifiedCharacterData
0,changed
0,abort
0,setVersion
0,adoptNode
0,replacingData
0,setMutationEvents
0,isNormalizeDocRequired
0,getDomConfig
0,removedNode
0,replaceRenameElement
0,addEventListener
0,insertBefore
0,loadXML
0,cloneNode
0,saveXML
0,modifyingCharacterData
0,getNodeNumber
0,getAsync
0,getElementsByTagNameNS
0,isXMLVersionChanged
0,checkDOMNSErr
0,getNodeName
0,importNode
0,undeferChildren
0,getImplementation
0,getMutationEvents
0,renamedAttrNode
0,deletedText
0,getNodeType
0,replacedNode
0,renamedElement
0,getElementById
0,renameNode
0,checkNamespaceWF
0,clone
0,isXMLName
0,load
0,insertingNode
0,insertedNode
0,isXML11Version
0,changes
0,copyEventListeners
0,getDocumentElement
0,replaceChild
0,getFeature
0,removeEventListener
0,isValidQName
0,normalizeDocument
0,removedAttrNode
0,setXmlVersion
0,replacingNode
0,setAttrNode
0,replacedText
0,getXmlVersion
0,setAsync
0,canRenameElements
0,replacedCharacterData
0,getElementsByTagName
1,createNotation
1,createProcessingInstruction
1,createElement
1,createTextNode
1,createDocumentType
1,createEntity
1,createDocumentFragment
1,createEntityReference
1,createAttribute
1,createCDATASection
1,createElementNS
1,createAttributeNS
1,createElementDefinition
1,createComment
2,callUserDataHandlers
2,removeUserDataTable
2,getUserData
2,setUserDataTable
2,getUserDataRecord
2,setUserData
3,removeIdentifier
3,putIdentifier
3,getIdentifiers
3,clearIdentifiers
3,getIdentifier
4,getErrorChecking
4,getStrictErrorChecking
4,setStrictErrorChecking
4,setErrorChecking
5,freeNodeListCache
5,getNodeListCache
6,getXmlEncoding
6,getInputEncoding
6,setEncoding
6,setInputEncoding
6,setXmlEncoding
6,getEncoding
7,setTextContent
7,getTextContent
8,getStandalone
8,getXmlStandalone
8,setXmlStandalone
8,setStandalone
9,setDocumentURI
9,getDocumentURI
9,getBaseURI
10,writeObject
10,readObject
