cluster_id,method_name
0,isCDATAAttribute
0,getElementDeclIsExternal
0,unparsedEntityDecl
0,getNotationDecl
0,setDTDSource
0,element
0,printAttribute
0,getFirstAttributeDeclIndex
0,endAttlist
0,getGrammarDescription
0,startDTD
0,isEntityUnparsed
0,any
0,startConditional
0,setEntityDecl
0,getAttributeDecl
0,getNextAttributeDeclIndex
0,printAttributes
0,startAttlist
0,processingInstruction
0,getNotationDeclIndex
0,textDecl
0,attributeDecl
0,setElementDecl
0,externalEntityDecl
0,ensureAttributeDeclCapacity
0,setNotationDecl
0,endGroup
0,pcdata
0,getEntityDecl
0,getFirstElementDeclIndex
0,internalEntityDecl
0,endDTD
0,elementDecl
0,getAttributeDeclIndex
0,occurrence
0,getNextElementDeclIndex
0,isImmutable
0,notationDecl
0,printElements
0,buildSyntaxTree
0,getElementDecl
0,getDTDSource
0,separator
0,isEntityDeclared
0,ensureElementDeclCapacity
0,ignoredCharacters
0,putElementNameMapping
0,ensureNotationDeclCapacity
0,resize
0,setFirstAttributeDeclIndex
0,comment
0,isNamespaceAware
0,addUniqueLeafNode
0,getElementDeclName
0,startGroup
0,getAttributeDeclIsExternal
0,empty
0,setAttributeDecl
0,endConditional
0,getEntityDeclIndex
0,getElementDeclIndex
0,getSymbolTable
0,ensureEntityDeclCapacity
1,startParameterEntity
1,endParameterEntity
2,getContentSpecType
2,getContentSpec
2,initializeContentModelStack
2,getElementContentModelValidator
2,setDTDContentModelSource
2,addContentSpecNode
2,setContentSpecIndex
2,startContentModel
2,getContentSpecIndex
2,setContentSpec
2,appendContentSpec
2,getContentSpecAsString
2,endContentModel
2,ensureContentSpecCapacity
2,contentSpecTree
2,addContentSpecToElement
2,getDTDContentModelSource
3,createAttributeDecl
3,createEntityDecl
3,createContentSpec
3,createNotationDecl
3,createElementDecl
3,createChildModel
4,endExternalSubset
4,startExternalSubset
