cluster_id,method_name
0,canAddComponent
0,expandRelatedComplexTypeComponents
0,expandRelatedAttributeUseComponents
0,expandRelatedModelGroupComponents
0,expandRelatedSimpleTypeComponents
0,addNewGrammarComponents
0,expandRelatedParticleComponents
0,expandRelatedAttributeUsesComponents
0,expandRelatedTypeComponents
0,expandRelatedAttributeComponents
0,canAddComponents
0,addGrammarComponents
0,expandRelatedElementComponents
0,expandRelatedAttributeGroupComponents
0,expandComponents
0,expandRelatedComponents
0,expandRelatedModelGroupDefinitionComponents
0,renameRedefiningComponents
1,doc2SystemId
1,addRelatedAttribute
1,getSchemaDocument
1,containedImportedGrammar
1,checkForDuplicateNames
1,setDVFactory
1,constructTrees
1,storeKeyRef
1,addNamespaceDependency
1,getIDRegistry
1,getSchemaDocument0
1,getIDConstraintDecl
1,addRelatedElement
1,getSchemaGrammar
1,null2EmptyString
1,expandImportList
1,findQName
1,setDeclPool
1,emptyString2Null
1,findGrammar
1,expandGrammars
1,prepareForTraverse
1,getGrammar
1,isExistingGrammar
1,findDependentNamespaces
1,parseSchema
1,addGrammars
1,updateImportListFor
1,setGenerateSyntheticAnnotations
1,updateImportList
1,schemaDocument2SystemId
1,removeParticle
1,getIDRegistry_sub
1,getGrpOrAttrGrpRedefinedByRestriction
1,traverseSchemas
1,reportSchemaWarning
1,addIDConstraintDecl
1,updateImportListWith
1,findXSDocumentForDecl
1,traverseLocalElements
1,resolveSchemaSource
1,fillInLocalElemInfo
1,addImportList
1,resolveKeyRefs
1,addRelatedType
1,validateAnnotations
1,element2Locator
1,addNewImportedGrammars
1,addNewGrammarLocations
1,prepareForParse
1,reset
1,changeRedefineGroup
1,getSchemaDocument1
1,resolveSchema
1,existingGrammars
1,updateImportDependencies
1,setSchemasVisible
2,nonAnnotationContent
3,addGlobalTypeDecl
3,addGlobalAttributeGroupDecl
3,addGlobalElementDecl
3,getGlobalDecl
3,getGlobalNotationDecl
3,getGlobalElementDecl
3,addGlobalGroupDecl
3,getGlobalGroupDecl
3,addGlobalElementDecls
3,traverseGlobalDecl
3,addGlobalGroupDecls
3,addGlobalComponent
3,addGlobalAttributeDecls
3,addGlobalNotationDecl
3,getGlobalAttributeGroupDecl
3,getGlobalAttributeDecl
3,addGlobalAttributeDecl
3,addGlobalNotationDecls
3,getGlobalDeclFromGrammar
3,buildGlobalNameRegistries
3,addGlobalAttributeGroupDecls
3,addGlobalTypeDecls
3,getGlobalTypeDecl
3,addGlobalComponents
4,needReportTNSError
4,reportSchemaError
4,reportSharingError
5,createGrammarFrom
5,createTraversers
5,createAnnotationValidator
