No,Hit,Name,Probability,E-value,P-value,Score,SS,Cols,Query HMM,Template,HMM,Query Coverage,Similarity,Identities,Organism
1,8x17_r,"adenosine receptor a3; gpcr, adenosine a3 receptor, ligand selectivity, cf102, membrane protein; het: xs0; 3.19a ",100.0,1.6e-36,2.4e-41,228.4,40.1,306,"[1, 306]",1-306,318,96.226,1.551,100.0,rattus norvegicus
2,8jwy_a,"adenosine receptor a2a,endolysin; adenosine receptor 2a, gpcr, inhibitor, signaling protein; het: vbf, ola, olc, clr; 2.33a ",100.0,5.9e-34,8.6e-39,226.9,36.6,299,"[6, 304]",8-465,481,94.025,0.782,42.0,homo sapiens
3,5nm4_a,"adenosine receptor a2a,soluble cytochrome b562,adenosine receptor a2a; room-temperature, serial crystallography, signaling protein; het: clr, ola, zma; 1.7a ",100.0,1.8e-33,2.7e-38,221.1,35.6,299,"[8, 306]",11-417,433,94.025,0.762,41.0,homo sapiens
4,7tuy_r,"g-protein coupled receptor 183,soluble cytochrome b562 fusion; ebi2, gpr183, oxysterol, gpcr, signaling, immunity, immunocyte migration, immune system; het: kkf;",100.0,2.4e-33,3.6e-38,223.1,34.4,316,"[1, 318]",20-452,477,99.371,0.242,17.0,homo sapiens
5,5uen_a,"adenosine receptor a1,soluble cytochrome b562,adenosine receptor a1; gpcr, transmembrane, receptor, adenosine, membrane protein; het: ola, du1; 3.2a ",100.0,2.5e-33,3.6e-38,219.2,33.3,306,"[3, 308]",1-413,416,96.226,0.885,48.0,homo sapiens
6,4u15_b,"muscarinic acetylcholine receptor m3,lysozyme,muscarinic acetylcholine receptor m3; gpcr t4l stabillized crystallography, membrane protein, membrane protein-inhibitor complex; het: p6g, olc, 0hk, tar; 2.8a ",100.0,1.1e-32,1.6e-37,215.9,36.6,312,"[1, 316]",1-418,418,98.113,0.382,23.0,rattus norvegicus
7,5zkp_a,"platelet-activating factor receptor,flavodoxin,platelet-activating factor receptor; g protein-coupled receptor, platelet-activating factor receptor, complex, signaling protein; het: 9er, fmn; 2.81a ",100.0,5.5e-33,8.1e-38,220.4,32.5,312,"[2, 313]",7-466,466,98.113,0.119,13.0,homo sapiens
8,8iru_r,"d(4) dopamine receptor; dopamine, dopamine receptor, gpcr, d4r, gi, rotigotine, polypharmacology parkinson's disease, restless legs syndrome, membrane protein; het: r5f, clr; 3.2a ",100.0,1.2e-32,1.8e-37,230.0,35.7,306,"[2, 317]",169-628,785,96.226,0.331,25.0,homo sapiens
9,6li0_a,"chimera of g-protein coupled receptor 52 and flavodoxin; human gpr52 receptor, class a, orphan gpcr, membrane protein, agonist c17, flavodoxin, lcp; het: fmn, flc, en6, peg, olc; 2.2a ",100.0,1.9e-32,2.8e-37,217.4,34.6,313,"[1, 318]",14-461,468,98.428,0.241,20.0,homo sapiens
10,5t1a_a,"chimera protein of cc chemokine receptor type 2 isoform b and t4-lysozyme,lysozyme; c-c chemokine receptor type 2, dual antagonist, intracellular allosteric antagonist, cooperative binding, lipidic cubic phase, membrane; het: 73r, olc, ycm, vt5, so4; 2.806a ",100.0,1.2e-32,1.7e-37,221.0,33.8,304,"[2, 310]",42-504,508,95.597,0.245,16.0,homo sapiens
11,8gng_x,"adenosine receptor a2a; adenosine a2a receptor, istradefylline, neutral antagonist, membrane protein, membrane protein-immune system complex; het: olc, jq9; 3.2a ",100.0,1.2e-31,1.7e-36,203.3,36.9,317,"[2, 318]",3-331,333,99.686,0.724,39.0,mus musculus
12,8w77_a,"human consensus olfactory receptor or52c in apo state, receptor only,soluble cytochrome b562; olfactory receptor, g protein, membrane protein, gpcr, olfactory gpcr; 3.61a ",100.0,1.9e-32,2.8e-37,215.7,33.8,309,"[2, 310]",26-440,440,97.17,0.169,18.0,homo sapiens
13,7yxa_b,"sphingosine 1-phosphate receptor 5,soluble cytochrome b562; gpcr, g-protein coupled receptor, xfel, x-ray free electron laser, serial femtosecond crystallography, sfx, sphingosine-1-phosphate, sphingosine-1-phosphate receptor; het: b2o, ola, olc, nag; 2.2a ",100.0,3.6e-32,5.3e-37,215.5,35.5,307,"[2, 318]",53-458,458,96.541,0.241,20.0,homo sapiens
